code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
586854,Arnolec,133,96,96,"13,54","0,00","0,00","9,37","0,00","2,08","9,37","0,00","1,04","1,04","0,00","0,00","5,20","0,00","0,00","38,54","0,00","9,37","2,08","0,00","2,08","0,00","6,25","0,00"
586862,Batelov,1925,1244,1238,"7,10","0,00","0,00","6,70","0,24","1,85","10,25","0,88","1,45","0,64","0,00","0,00","11,06","0,00","2,98","32,06","0,64","10,42","0,08","1,69","0,48","0,16","10,90","0,32"
586889,Bílý Kámen,211,156,156,"11,53","0,00","0,00","10,25","0,00","2,56","7,69","0,64","0,00","3,20","0,00","0,00","14,10","0,00","6,41","21,79","0,00","4,48","0,00","3,20","0,00","0,00","14,10","0,00"
586897,Bítovčice,347,209,209,"8,13","0,00","0,00","6,69","0,00","7,65","6,69","0,95","1,91","2,87","0,00","0,00","4,78","0,47","0,95","23,44","0,47","15,78","0,00","0,47","0,95","0,00","17,70","0,00"
586901,Bohuslavice,113,78,77,"15,58","0,00","0,00","3,89","0,00","2,59","5,19","2,59","2,59","0,00","0,00","0,00","18,18","0,00","14,28","7,79","0,00","15,58","0,00","0,00","0,00","1,29","10,38","0,00"
587184,Borovná,65,46,45,"11,11","0,00","0,00","0,00","0,00","8,88","4,44","0,00","0,00","0,00","0,00","0,00","13,33","0,00","0,00","33,33","0,00","13,33","0,00","0,00","0,00","0,00","15,55","0,00"
586927,Boršov,124,90,90,"4,44","0,00","0,00","4,44","0,00","3,33","7,77","0,00","0,00","1,11","0,00","0,00","5,55","0,00","8,88","23,33","0,00","15,55","0,00","0,00","1,11","0,00","23,33","1,11"
586943,Brtnice,3028,1944,1937,"9,60","0,05","0,05","9,70","0,15","3,61","12,13","0,87","0,46","1,13","0,05","0,05","8,98","0,10","2,73","28,34","0,36","10,63","0,05","0,46","0,15","0,20","9,91","0,15"
590371,Brtnička,92,65,64,"1,56","1,56","0,00","12,50","0,00","6,25","9,37","0,00","0,00","0,00","0,00","0,00","10,93","0,00","1,56","39,06","1,56","9,37","0,00","0,00","3,12","0,00","3,12","0,00"
586951,Brzkov,218,157,156,"14,74","0,00","0,00","3,20","0,00","0,64","7,05","1,92","0,00","0,64","0,00","0,00","5,76","0,00","2,56","32,05","0,00","23,07","0,00","0,00","0,00","0,00","7,69","0,64"
586978,Cejle,394,250,250,"9,60","0,00","0,00","5,20","0,00","3,20","6,40","3,60","0,80","1,20","0,00","0,00","11,20","0,00","3,20","34,80","0,40","3,60","0,00","0,40","0,00","0,40","15,20","0,80"
586986,Cerekvička-Rosice,135,96,96,"16,66","0,00","0,00","5,20","0,00","6,25","11,45","1,04","0,00","1,04","0,00","0,00","5,20","0,00","5,20","23,95","0,00","3,12","0,00","0,00","1,04","0,00","19,79","0,00"
587001,Černíč,102,60,60,"1,66","0,00","0,00","6,66","0,00","10,00","6,66","0,00","0,00","0,00","0,00","1,66","6,66","0,00","1,66","21,66","1,66","28,33","0,00","0,00","3,33","0,00","10,00","0,00"
587117,Čížov,224,153,153,"20,26","1,96","0,00","9,15","0,00","2,61","5,88","1,96","0,65","0,65","0,00","0,00","9,80","0,00","6,53","28,75","0,00","1,96","0,00","1,30","0,00","0,65","7,84","0,00"
587010,Dlouhá Brtnice,290,183,180,"8,33","0,55","0,00","3,33","0,00","9,44","12,22","1,66","0,55","3,33","0,00","0,00","6,66","0,00","1,11","31,66","0,55","8,88","0,00","0,55","0,55","0,00","10,55","0,00"
587028,Dobronín,1504,841,835,"6,94","0,11","0,00","4,55","0,00","2,87","8,86","2,27","1,55","1,91","0,11","0,00","10,77","0,11","2,03","34,49","0,47","6,70","0,23","0,47","0,71","0,35","14,13","0,23"
587036,Dobroutov,211,135,134,"14,17","0,00","0,00","3,73","0,00","3,73","5,22","0,74","1,49","0,00","0,00","0,00","15,67","0,74","2,98","23,88","0,00","17,16","0,00","0,00","0,00","0,00","8,95","1,49"
587044,Dolní Cerekev,1025,652,650,"7,38","0,15","0,00","6,15","0,00","5,23","9,23","1,53","0,92","1,69","0,00","0,00","11,69","0,00","3,38","34,76","0,30","5,23","0,00","1,07","0,61","0,61","9,53","0,46"
587061,Dolní Vilímeč,77,56,56,"3,57","0,00","0,00","1,78","0,00","5,35","5,35","0,00","0,00","0,00","0,00","0,00","7,14","0,00","3,57","39,28","0,00","19,64","0,00","0,00","0,00","3,57","7,14","3,57"
587079,Doupě,81,57,57,"1,75","0,00","0,00","8,77","0,00","7,01","5,26","1,75","1,75","0,00","0,00","0,00","10,52","0,00","5,26","19,29","0,00","10,52","0,00","0,00","1,75","0,00","26,31","0,00"
587087,Dudín,148,110,110,"4,54","0,00","0,00","16,36","0,00","3,63","7,27","0,00","0,00","0,00","0,00","0,00","7,27","0,90","3,63","32,72","1,81","6,36","0,90","1,81","0,00","0,00","10,00","2,72"
587095,Dušejov,367,238,237,"6,32","0,00","0,00","5,90","0,00","4,64","6,32","0,42","2,53","1,68","0,00","0,00","16,45","0,00","2,53","28,27","0,00","10,97","0,00","0,42","1,68","0,00","9,70","2,10"
